Raum-Nr.|Bezeichnung|MI-Raum?|Beschreibung||360-Grad-Bild verfügbar?
9129|Audimax|Ja|Das Audimax ist ein großer Vorlesungssaal für Veranstaltungen.||Ja
9136|Studio|Ja|Das Studio ist ein Raum für die Anfertigung von Film- und Fotoaufnahmen.||Ja
9135|Sprecherkabine|Ja|Die Sprecherkabine ist ein schallisolierter Raum für die Anfertigung von Tonaufnahmen.||Nein
9138|Tonschnitt|Ja|Vom Tonschnitt aus werden die Aufnahmen in der Sprecherkabine gesteuert.||Ja
9139|Sounddesign|Ja|Der Regieraum für Sounddesign ergänzt die Sprecherkabine bei der Anfertigung von Tonaufnahmen.||
9140|Medienleihe|Ja|In der Medienleihe können MI- und MuSK-Studierende Technik für Film- und Fotoproduktionen ausleihen.||
9141|Redaktion |Ja|Der Redaktionsraum dient zur Planung, Vorbereitung und Betreuung von Dreharbeiten.||Ja
9119|WC Herren||||
9120|WC Damen||||
9311|WC Herren||||
9312|WC Damen||||
9326|Grafiklabor|Ja|Das Grafiklabor ist ein Raum für Lehrveranstaltungen zum Thema Grafikdesign und für die Arbeit an Grafikdesign-Projekten.||Ja
9327|3D Labor|Ja|Das 3D Labor ist ein Raum für Lehrveranstaltungen zum Thema Visualierung und für die Arbeit an Visualisierungsprojekten.||Ja
9328|Multimedia Labor|Ja|Das Multimedia Labor ist ein Raum für Lehrveranstaltungen zum Thema Multimedia und für die Arbeit an Projekten.||Ja
9225|Editsuite 1|Ja|Die Editsuiten bieten Arbeitsplätze für Sound-, Video-, Bildbearbeitung, etc.||Ja
9226|Editsuite 2|Ja|Die Editsuiten bieten Arbeitsplätze für Sound-, Video-, Bildbearbeitung, etc.||
9227|Editsuite 3|Ja|Die Editsuiten bieten Arbeitsplätze für Sound-, Video-, Bildbearbeitung, etc.||
9228|Editsuite 4|Ja|Die Editsuiten bieten Arbeitsplätze für Sound-, Video-, Bildbearbeitung, etc.||
9229|Büro Schubert/Schwenke|Ja|Medientechniker Medien- und AV-Technik/Laboringenieur Medien- und AV-Technik||
9201|WC Herren||||
9202|WC Damen||||
9204|Haustechnik||||
9205|Haustechnik||||
9206|Küche||||
9315|Haustechnik ||||
9316|Abstellraum||||
9313|WC Rollstuhlfahrer||||
9324|Projektraum|Ja|Der Projektraum ist ein Meetingraum für studentische Projekte.||Ja
9317|Print Labor|Ja|Das Print Labor ist ein Raum mit Großformatdrucker und Schneidemaschine.||Ja
9428|Software Engineering & Internet Technologies|Ja|Der SEIT-Raum ist ein Raum für Lehrveranstaltungen zum Thema Programmierung.||Ja
9429|Games Labor/Motion Capture|Ja|Das Games Labor ist ein Raum für Lehrveranstaltungen zum Thema Games. Der Raum bietet ebenfalls eine Motion Capture Anlage.||Ja
9332|Büro Sarah Piper||||
9333|Büro Harriet Fessel-Müller||||
9334|Büro Jutta Sendzik||||
9335|Büro Ryan Sanders/Astrid Van Dyk||||
9336|Büro Regina Bernhardt/Jose Isaias Lubo Romero||||
9337|Büro Brian P. Kearney/Bianca C. Weber/Maria Lobe-Van Camp||||
9338|Büro Rüdiger Hörig||||
9339|Sprachenzentrum||||
9340|Sprachenzentrum||||
9341|Sprachenzentrum||||
9342|Sprachenzentrum||||
9343|Sprachenzentrum||||
9344|Sprachenzentrum||||
9345|Sprachenzentrum||||
9318|Büro Prof. Dominik Wilhelm|Ja|Medieninformatik/Angewandte Spielekonzepte/Applied Games||
9319|Büro Gregor Theune|Ja|Visuelle Kommunikation ||
9320|Büro Prof. Martin Kreyßig|Ja|Digitales Bewegtbild||
9321|Büro Marc Dannemann/Jessica Krecisz|Ja|Künstlerisch/wissenschaftliche*r Mitarbeiter*in||
9322|Büro Prof. Daniel Ackermann|Ja|Produktion interaktiver Medien/Design multimedialer Schnittstellen||
